Source.Country,Event.Date,affinity,GDP.growth.(annual.%).[NY.GDP.MKTP.KD.ZG],GDP.per.capita.growth.(annual.%).[NY.GDP.PCAP.KD.ZG],"Current.health.expenditure.per.capita,.PPP.(current.international.$).[SH.XPD.CHEX.PP.CD]",Current.health.expenditure.(%.of.GDP).[SH.XPD.CHEX.GD.ZS],"GDP.per.capita,.PPP.(constant.2017.international.$).[NY.GDP.PCAP.PP.KD]","GDP,.PPP.(constant.2017.international.$).[NY.GDP.MKTP.PP.KD]","Government.expenditure.on.education,.total.(%.of.government.expenditure).[SE.XPD.TOTL.GB.ZS]",Total.natural.resources.rents.(%.of.GDP).[NY.GDP.TOTL.RT.ZS],Proportion.of.seats.held.by.women.in.national.parliaments.(%).[SG.GEN.PARL.ZS],Women.Business.and.the.Law.Index.Score.(scale.1-100).[SG.LAW.INDX],"Life.expectancy.at.birth,.total.(years).[SP.DYN.LE00.IN]","Mortality.rate,.infant.(per.1,000.live.births).[SP.DYN.IMRT.IN]",Research.and.development.expenditure.(%.of.GDP).[GB.XPD.RSDV.GD.ZS],High-technology.exports.(%.of.manufactured.exports).[TX.VAL.TECH.MF.ZS],Individuals.using.the.Internet.(%.of.population).[IT.NET.USER.ZS],ICT.goods.exports.(%.of.total.goods.exports).[TX.VAL.ICTG.ZS.UN],ICT.goods.imports.(%.total.goods.imports).[TM.VAL.ICTG.ZS.UN],"ICT.service.exports.(%.of.service.exports,.BoP).[BX.GSR.CCIS.ZS]",Gini.index.[SI.POV.GINI],Ease.of.doing.business.score.(0.=.lowest.performance.to.100.=.best.performance).[IC.BUS.DFRN.XQ],Military.expenditure.(%.of.general.government.expenditure).[MS.MIL.XPND.ZS],Goods.Value.of.Trade.Balance.US.Dollars,Total.Score,Political.Rights,Civil.Liberties
Hungary,2016,0.8432432432432432,2.2,2.5,1949.25,7,28217.35,276925761522.53,9.86,0.23,10.1,96.88,76.06,4,1.18,17.56,79.26,11.38,12.52,7.95,30.3,71.38,2.14,1189297635,66,24,42
Hungary,2017,-0.6076923076923078,4.27,4.55,1988.7,6.76,29501.12,288755963637.47,9.94,0.3,10.05,96.88,75.82,3.7,1.32,17.18,76.75,11.18,12.56,9.06,30.6,72.68,2.21,770744319,66,24,42
Hungary,2018,-0.011864406779661035,5.36,5.5,2083.19,6.55,31122.5,304240017826.25,10.08,0.38,12.56,96.88,76.07,3.5,1.51,16.81,76.07,11.34,12.48,9.37,29.6,73.24,2.43,1258686313,66,24,42
Hungary,2019,1.9742857142857142,4.86,4.91,2155.91,6.35,32649.14,319019366169.22,9.27,0.32,12.56,96.88,76.32,3.4,1.48,17.36,80.37,12.82,13.75,9.38,30,73.42,2.74,1018046192,66,24,42
India,2015,1.6122038444345104,8,6.72,196.5,3.6,5411.88,7159188945023.89,15.69,1.78,11.97,66.25,69.64,35,0.69,8.02,14.9,0.89,8.56,48.87,34.7,54.52,8.83,19699165360,66,33,33
India,2016,0.8171395483497395,8.26,6.98,204.65,3.5,5789.68,7750273455775.5,15.72,1.73,11.97,66.25,70.12,33.2,0.67,7.66,16.5,0.95,9.33,47.3,34.8,55.94,9.08,21376022414,66,33,33
India,2017,0.9977356181150551,6.8,5.57,181.53,2.94,6112.07,8276934253114.81,15.81,1.96,11.81,68.75,70.47,31.5,0.67,7.36,18.2,0.86,9.72,42.38,35.9,60.91,9.39,22001230000,66,33,33
India,2018,0.6498392282958199,6.45,5.3,195.57,2.95,6436.15,8811115285732.38,16.64,2.25,11.81,71.88,70.71,29.8,0.66,9.04,20.08,1.18,9.18,41.3,34.6,67.5,9.1,18611010000,66,33,33
India,2019,0.8783768444948922,3.74,2.68,211,3.01,6608.62,9140467595777.36,16.73,1.99,14.39,71.88,70.91,28.3,0.67,10.22,29.4,2,9.46,43.96,35.7,71.05,9.14,19270250000,66,33,33
Indonesia,2015,0.7929078014184398,4.88,3.72,299.66,2.92,10121.84,2622487705196.92,20.5,3.11,17.12,64.38,69.7,23.2,0.24,8.89,22.06,3.52,7.63,4.37,40.4,62.11,5.05,8650175774,58,30,28
